munich,kuwait,fairbanks
32.8,57.1,-0.9
26.5,57.4,-6.2
34.1,66.4,-13.3
39.7,65,-30
36.2,58.9,-28.8
29.4,56.9,-29.9
31.9,55.3,-32.9
33.4,60.7,-37.1
42,61.3,-39.5
40.8,57.4,-36.7
40.2,54.6,-32.3
28,54.6,-31
34.3,54.6,-14.3
32.6,54.2,0.5
33.1,55.1,1.4
36.2,54.9,-17.4
37.2,61.6,-20.8
38,65.5,-25.5
33.5,60.4,-29.4
32.7,59.6,-23.6
29.4,61.4,-14.4
26.9,61.2,-12.5
27.7,54.2,-12.1
30.6,53.5,-7.5
32.8,53,-5.7
35.4,54.8,-29.9
40.6,54.6,-26.4
38.8,52.9,-25.8
36.5,58.1,-27.6
41.7,56.5,-11.9
51.7,58.2,-18.7
49.2,58.1,-19.4
50,53.8,-30.2
44.1,56,-2.6
40.5,53.6,2.3
34.9,58.3,4.5
31.3,63.5,10.3
30.2,69.4,13.3
32.7,66.7,4.3
39.3,62,18.7
49.5,53.2,3.8
39.3,47.2,-6
37.4,46.1,-11.4
39.1,51,-22.8
42.3,56.2,-29.9
38.3,59.8,-27.6
43.6,63.2,-26.8
49.3,67.6,-8.7
42.4,67.2,8.9
39.8,73,15.9
39,68.3,16.4
41.6,63,12.4
47.1,64.9,9
51.3,66.4,-0.7
41.8,71.8,-18.1
47.4,70.9,-13.7
38.1,63.7,-15.4
36.3,63,-16.8
36.1,63.6,-20.4
44.2,64.7,-22.5
45.3,70.5,4.5
43,66.4,1.7
39,65.7,-16.1
36.6,65,-20.3
37.6,64.5,-27.9
43.5,67.6,-19.7
38.6,70.7,2.8
38.9,69.4,10.7
40.9,72.5,7.6
40.7,68.6,7.4
53.5,68.5,-16.1
53.4,68,-9.9
43.6,68.6,4.8
37.9,70.1,7.8
41,68.7,23.7
44.2,69.9,26.6
45.8,72,19.2
48.2,69.6,31.2
48,71.3,27.2
49.6,70.3,33.8
39.1,72.8,30.9
33.5,65,25.9
30.7,64.8,21.4
31.6,66.8,34.1
33.3,69.1,34.6
37.2,69.4,26.5
47.7,72.8,5
45.5,76.7,5.6
43.6,73.9,7.3
33.4,74,4.4
31.7,73.3,15.3
34,75,12.6
37.5,78.1,22.1
41.5,78.8,30.2
45.8,79.2,28.5
49.5,79.9,34.1
50.8,79.5,22
52.9,83.3,14.4
53.6,81.9,12.5
54.5,82.5,20.3
53,83.2,16.2
52.3,81.7,28
54.3,79.2,30.8
54.4,77,39.3
37.7,76.7,34.3
43,78.1,37.7
51,76.9,41.6
57.8,79,37.5
58.7,75.1,38.7
57.9,78,39.6
53.6,79.6,39.7
55,75.5,38.4
55.9,78,34.9
53.2,79.8,35.9
53.8,83.3,35.1
55.6,87.2,30.1
52.9,88.2,33.1
56.1,79.6,38.2
54.6,80.6,37.3
51.4,83.5,38.5
51.7,83.4,32.2
50.8,84.9,36.9
48.3,87,41.6
48.7,85,43.2
53.4,85.2,45.8
50.5,88.2,48.5
46.9,89.5,49
51.4,82.9,52.6
58.8,85.4,58.9
64.5,87.5,57.3
61.2,89.5,63.6
52.5,88,64.4
43,87.8,60.7
42.4,80.3,55.6
