year,month,anomaly,absolute
1850,1,-1.267,13.123
1850,2,0.822,15.212
1850,3,-1.395,12.995
1850,4,-0.871,13.519
1850,5,-0.672,13.718
1850,6,-0.38,14.01
1850,7,-0.612,13.778
1850,8,-0.348,14.042
1850,9,-1.678,12.712
1850,10,-1.256,13.134
1850,11,-0.563,13.827
1850,12,-0.267,14.123
1851,1,0.644,15.034
1851,2,0.618,15.008
1851,3,-0.596,13.794
1851,4,0.383,14.773
1851,5,-1.455,12.935
1851,6,-1.35,13.04
1851,7,-1.882,12.508
1851,8,-2.162,12.228
1851,9,-0.345,14.045
1851,10,0.064,14.454
1851,11,-1.321,13.069
1851,12,-0.693,13.697
1852,1,-1.126,13.264
1852,2,-0.249,14.141
1852,3,-0.408,13.982
1852,4,-2.901,11.489
1852,5,-0.204,14.186
1852,6,0.022,14.412
1852,7,-0.798,13.592
1852,8,-0.707,13.683
1852,9,-0.808,13.582
1852,10,-0.809,13.581
1852,11,-1.778,12.612
1852,12,-0.353,14.037
1853,1,0.384,14.774
1853,2,-0.63,13.76
1853,3,-0.929,13.461
1853,4,-0.593,13.797
1853,5,-0.384,14.006
1853,6,-0.063,14.327
1853,7,-0.345,14.045
1853,8,-0.141,14.249
1853,9,0.045,14.435
1853,10,-0.172,14.218
1853,11,0.079,14.469
1853,12,-0.55,13.84
1854,1,-0.28,14.11
1854,2,-0.586,13.804
1854,3,-0.297,14.093
1854,4,-1.027,13.363
1854,5,-0.178,14.212
1854,6,-0.008,14.382
1854,7,0.887,15.277
1854,8,0.563,14.953
1854,9,-0.794,13.596
1854,10,0.201,14.591
1854,11,-0.938,13.452
1854,12,-0.366,14.024
1855,1,0.067,14.457
1855,2,-1.608,12.782
1855,3,-0.531,13.859
1855,4,-0.046,14.344
1855,5,-0.112,14.278
1855,6,-0.966,13.424
1855,7,-0.127,14.263
1855,8,-0.519,13.871
1855,9,-0.819,13.571
1855,10,-0.699,13.691
1855,11,-0.358,14.032
1855,12,-1.315,13.075
1856,1,-0.788,13.602
1856,2,-0.813,13.577
1856,3,-0.758,13.632
1856,4,-0.19,14.2
1856,5,-0.822,13.568
1856,6,-0.76,13.63
1856,7,-1.127,13.263
1856,8,-1.113,13.277
1856,9,-0.183,14.207
1856,10,-0.351,14.039
1856,11,-1.812,12.578
1856,12,-1.363,13.027
1857,1,-1.763,12.627
1857,2,0.925,15.315
1857,3,-0.788,13.602
1857,4,-0.78,13.61
1857,5,-1.604,12.786
1857,6,-1.661,12.729
1857,7,-0.746,13.644
1857,8,-0.073,14.317
1857,9,-0.46,13.93
1857,10,-0.065,14.325
1857,11,-0.816,13.574
1857,12,0.694,15.084
1858,1,1.123,15.513
1858,2,-0.405,13.985
1858,3,-0.203,14.187
1858,4,-0.33,14.06
1858,5,-0.638,13.752
1858,6,-0.127,14.263
1858,7,-0.234,14.156
1858,8,-0.037,14.353
1858,9,0.07,14.46
1858,10,0.474,14.864
1858,11,-1.453,12.937
1858,12,-0.608,13.782
1859,1,-0.077,14.313
1859,2,0.58,14.97
1859,3,-0.331,14.059
1859,4,0.172,14.562
1859,5,0.552,14.942
1859,6,-0.567,13.823
1859,7,-0.726,13.664
1859,8,-0.175,14.215
1859,9,-0.723,13.667
1859,10,-0.193,14.197
1859,11,-0.264,14.126
1859,12,-1.182,13.208
1860,1,0.576,14.966
1860,2,-0.549,13.841
1860,3,0.033,14.423
1860,4,-0.493,13.897
1860,5,-0.315,14.075
1860,6,0.187,14.577
1860,7,-0.78,13.61
1860,8,-0.229,14.161
1860,9,-0.511,13.879
1860,10,-0.852,13.538
1860,11,-0.319,14.071
1860,12,-1.003,13.387
1861,1,-0.861,13.529
1861,2,-0.111,14.279
1861,3,-0.748,13.642
1861,4,-0.817,13.573
1861,5,-1.566,12.824
1861,6,0.535,14.925
1861,7,-0.231,14.159
1861,8,-0.153,14.237
1861,9,0.359,14.749
1861,10,0.762,15.152
1861,11,-0.145,14.245
1861,12,0.103,14.493
1862,1,-1.571,12.819
1862,2,-1.447,12.943
1862,3,-0.423,13.967
1862,4,-0.614,13.776
1862,5,0.392,14.782
1862,6,-0.615,13.775
1862,7,0.046,14.436
1862,8,-0.731,13.659
1862,9,-0.388,14.002
1862,10,0.583,14.973
1862,11,-0.341,14.049
1862,12,-0.304,14.086
1863,1,0.577,14.967
1863,2,0.098,14.488
1863,3,-0.59,13.8
1863,4,0.03,14.42
1863,5,-0.325,14.065
1863,6,-0.429,13.961
1863,7,-1.379,13.011
1863,8,-0.737,13.653
1863,9,-1.14,13.25
1863,10,-0.473,13.917
1863,11,-0.323,14.067
1863,12,-0.646,13.744
1864,1,-1.142,13.248
1864,2,-0.3,14.09
1864,3,-0.153,14.237
1864,4,-1.166,13.224
1864,5,-0.185,14.205
1864,6,-0.402,13.988
1864,7,-0.503,13.887
1864,8,-0.682,13.708
1864,9,-0.49,13.9
1864,10,-0.315,14.075
1864,11,-0.133,14.257
1864,12,-0.423,13.967
1865,1,0.382,14.772
1865,2,-0.366,14.024
1865,3,0.118,14.508
1865,4,-0.066,14.324
1865,5,-0.273,14.117
1865,6,0.184,14.574
1865,7,-0.628,13.762
1865,8,-0.529,13.861
1865,9,-0.122,14.268
1865,10,0.446,14.836
1865,11,0.806,15.196
1865,12,-0.611,13.779
1866,1,0.412,14.802
1866,2,0.153,14.543
1866,3,-1.026,13.364
1866,4,0.207,14.597
1866,5,-0.225,14.165
1866,6,-0.194,14.196
1866,7,0.315,14.705
1866,8,-0.873,13.517
1866,9,-0.064,14.326
1866,10,-0.272,14.118
1866,11,-0.444,13.946
1866,12,-0.334,14.056
1867,1,-0.83,13.56
1867,2,0.147,14.537
1867,3,-0.783,13.607
1867,4,-0.44,13.95
1867,5,-0.746,13.644
1867,6,0.532,14.922
1867,7,-0.147,14.243
1867,8,0.017,14.407
1867,9,-0.191,14.199
1867,10,0.711,15.101
1867,11,-0.487,13.903
1867,12,-1.522,12.868
1868,1,-0.946,13.444
1868,2,-0.429,13.961
1868,3,0.269,14.659
1868,4,-0.844,13.546
1868,5,-0.136,14.254
1868,6,-0.206,14.184
1868,7,0.598,14.988
1868,8,0.063,14.453
1868,9,-0.729,13.661
1868,10,0.011,14.401
1868,11,-1.271,13.119
1868,12,-0.438,13.952
1869,1,0.434,14.824
1869,2,1.005,15.395
1869,3,0.058,14.448
1869,4,0.058,14.448
1869,5,0.333,14.723
1869,6,-0.194,14.196
1869,7,0.205,14.595
1869,8,0.202,14.592
1869,9,0.265,14.655
1869,10,-0.583,13.807
1869,11,-0.667,13.723
1869,12,-0.224,14.166
1870,1,0.603,14.993
1870,2,-0.112,14.278
1870,3,-1.07,13.32
1870,4,0.28,14.67
1870,5,0.801,15.191
1870,6,0.57,14.96
1870,7,0.23,14.62
1870,8,-0.483,13.907
1870,9,-0.606,13.784
1870,10,-0.486,13.904
1870,11,0.774,15.164
1870,12,-1.086,13.304
1871,1,-0.639,13.751
1871,2,-0.339,14.051
1871,3,0.031,14.421
1871,4,0.098,14.488
1871,5,0.089,14.479
1871,6,0.036,14.426
1871,7,0.024,14.414
1871,8,0.275,14.665
1871,9,-0.373,14.017
1871,10,-0.039,14.351
1871,11,-1.442,12.948
1871,12,-1.424,12.966
1872,1,0.248,14.638
1872,2,0.47,14.86
